budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,1028,1.350964731434773,0.15214868030650538,2344,False,False
429,1029,2.7576183026374443,0.3105691627417662,664,True,False
429,1030,3.5212317718566366,0.39656902558243573,289,True,False
429,1031,2.5149107949372906,0.2832348984654213,847,True,False
429,1033,3.29039336568137,0.37057148616012725,384,True,False
429,1034,2.2281824556148075,0.2509429093266227,1122,False,False
429,1035,2.0460087649798147,0.23042609939684552,1349,False,False
429,1036,1.3116907310411299,0.1477255542313311,2402,False,False
429,1037,1.0523654544072554,0.11851975951894081,2873,False,False
429,1038,2.8567100632478644,0.32172909923404724,592,True,False
429,1039,5.789960807469756,0.6520783817556267,14,True,False
429,1040,3.7928414489269437,0.42715831704442275,219,True,False
429,1041,3.3982373586917722,0.3827171187097575,339,True,False
429,1043,0.9592937590412158,0.10803781628657175,3037,False,False
429,1044,1.327536932332843,0.14951018898774315,2378,False,False
429,1046,3.2789047275142575,0.3692776099433968,392,True,False
429,1047,2.2293074999068287,0.25106961433996206,1118,False,False
429,1048,1.7115928635886088,0.19276342998271137,1776,False,False
429,1049,4.639416604457982,0.522501511205773,90,True,False
429,1050,4.628100980328287,0.5212271202182681,92,True,False
429,1051,2.394233435030012,0.269643943331259,949,True,False
429,1052,2.5320965457920925,0.28517039630025937,837,True,False
429,1053,2.8421272262720927,0.3200867474025289,599,True,False
429,1054,1.8237001954686043,0.20538920932493712,1619,False,False
429,1057,1.1516974685110393,0.12970675389889558,2716,False,False
429,1058,1.1082598728828834,0.12481471438318403,2790,False,False
429,1059,1.2014929092781628,0.13531482820439747,2621,False,False
429,1060,0.8561151228599775,0.0964176066944767,3212,False,False
429,1061,1.145823800751699,0.1290452482523393,2724,False,False
429,1062,1.3097993357731597,0.14751254105099884,2411,False,False
429,1063,1.801190961531185,0.20285416887672975,1644,False,False
429,1067,3.4202336331911205,0.38519438851470733,327,True,False
429,1068,2.2535094339066233,0.25379529046847443,1080,False,False
429,1069,3.8853667075816176,0.4375787193478758,202,True,False
429,1070,3.8721399853629195,0.4360890962041107,204,True,False
429,1071,0.877879277764781,0.09886873466969438,3183,False,False
429,1072,1.7600835535276598,0.1982245603214309,1701,False,False
429,1074,1.4392201595403054,0.16208820470984153,2194,False,False
429,1076,3.7866499904731437,0.42646102109657236,222,True,False
429,1077,1.9710366596633264,0.22198257262054732,1449,False,False
429,1078,4.302822606380535,0.4845935396540771,125,True,False
429,1079,3.7607936505088024,0.4235490220550039,231,True,False
429,1080,2.989637033494257,0.3366996329789596,520,True,False
429,1081,3.4943796321426834,0.39354487733798454,301,True,False
429,1082,0.2320350842308859,0.026132311990886815,3947,False,False
429,1083,0.8442659250345467,0.09508312343974708,3234,False,False
429,1084,1.1793804109391872,0.13282446900976339,2664,False,False
429,1087,2.088449348355887,0.23520585315492457,1301,False,False
429,1089,2.100730900999749,0.23658902917973015,1284,False,False
429,1090,1.2002228657836782,0.1351717930554247,2624,False,False
429,1091,1.5542992042222354,0.17504866501785693,2026,False,False
429,1092,3.0698354880097103,0.3457317629326324,481,True,False
429,1096,1.1540428218906347,0.12997089286067207,2712,False,False
429,1097,1.970993785927398,0.2219777440841766,1450,False,False
429,1098,1.434392907478022,0.16154454874777713,2205,False,False
429,1100,0.7606883725884807,0.08567043189271342,3361,False,False
429,1102,0.404070706197054,0.04550734987219593,3786,False,False
429,1103,0.8123178526615036,0.09148505982136318,3285,False,False
429,1104,0.4307232768800948,0.04850902220445127,3750,False,False
429,1105,1.214875020954093,0.13682195165760908,2598,False,False
429,1106,1.4319199907400124,0.16126604331425892,2210,False,False
429,1107,1.6845519916495033,0.1897180262914524,1813,False,False
429,1108,3.02051740505011,0.3401774497348476,506,True,False
429,1109,2.6224875180795357,0.29535043048261017,770,True,False
429,1112,0.7283373676825968,0.08202698910809535,3402,False,False
429,1113,0.7790279880545163,0.08773588054992792,3341,False,False
429,1115,0.8515568821522045,0.09590424739495561,3217,False,False
429,1116,1.256038994297703,0.14145793072846968,2507,False,False
429,1117,1.0784803239857708,0.12146087474592959,2839,False,False
429,1118,1.041986637576886,0.1173508738721582,2895,False,False
429,1119,0.7919033535592445,0.08918593311194246,3314,False,False
429,1120,1.0127719685310894,0.11406065227163681,2957,False,False
429,1121,2.390072605149716,0.26917534133112053,953,True,False
429,1123,2.5588194071093087,0.28817998492150343,814,True,False
429,1124,2.0854198026796955,0.23486465892102976,1304,False,False
429,1125,0.4376866908655105,0.049293257516933225,3738,False,False
429,1126,3.5575186023598544,0.400655729879821,281,True,False
429,1127,2.558985956790945,0.2881987421204716,813,True,False
429,1128,0.9135607631265952,0.10288726363855225,3114,False,False
429,1129,0.8058247166787527,0.09075378827308447,3291,False,False
429,1130,1.423548036525575,0.1603231750397035,2224,False,False
429,1132,3.636191258263128,0.40951602096912154,260,True,False
429,1133,2.779699136104076,0.3130559557674048,640,True,False
429,1134,1.6671072028021128,0.187753355016476,1834,False,False
429,1135,1.034864912869434,0.11654880925083069,2909,False,False
429,1136,1.065244020461765,0.11997017253405542,2853,False,False
429,1138,2.059221630130461,0.23191416192650433,1330,False,False
429,1139,1.9621965368879193,0.22098697815184698,1457,False,False
429,1140,0.22442921177332567,0.025275721563268197,3953,False,False
429,1141,1.2671704247555153,0.14271157741122287,2481,False,False
429,1142,1.4617565604945337,0.16462630476845855,2167,False,False
429,1143,1.5879273712957243,0.17883594467239247,1969,False,False
429,1144,1.6955616855848186,0.19095796273380328,1791,False,False
429,1145,2.7882456746134734,0.31401848611711464,634,True,False
429,1146,1.3602923628602714,0.15319917909359648,2328,False,False
429,1147,1.751901706107274,0.19730310230071793,1712,False,False
